date,open,high,low,close,Regime_WF
2024-09-30 00:00:00+00:00,65602.01,65618.8,62856.3,63327.59,5
2024-10-01 00:00:00+00:00,63327.6,64130.63,60164.0,60805.78,5
2024-10-02 00:00:00+00:00,60804.92,62390.31,60000.0,60649.28,4
2024-10-03 00:00:00+00:00,60649.27,61477.19,59828.11,60752.71,4
2024-10-04 00:00:00+00:00,60752.72,62484.85,60459.9,62086.0,7
2024-10-05 00:00:00+00:00,62086.0,62370.56,61689.26,62058.0,7
2024-10-06 00:00:00+00:00,62058.01,62975.0,61798.97,62819.91,7
2024-10-07 00:00:00+00:00,62819.91,64478.19,62128.0,62224.0,7
2024-10-08 00:00:00+00:00,62224.01,63200.0,61860.31,62160.49,7
2024-10-09 00:00:00+00:00,62160.5,62543.75,60301.0,60636.02,7
2024-10-10 00:00:00+00:00,60636.01,61321.68,58946.0,60326.39,7
2024-10-11 00:00:00+00:00,60326.4,63417.56,60087.64,62540.0,7
2024-10-12 00:00:00+00:00,62539.99,63480.0,62487.23,63206.22,7
2024-10-13 00:00:00+00:00,63206.23,63285.72,62050.0,62870.02,7
2024-10-14 00:00:00+00:00,62870.02,66500.0,62457.81,66083.99,8
2024-10-15 00:00:00+00:00,66084.0,67950.0,64800.01,67074.14,8
2024-10-16 00:00:00+00:00,67074.14,68424.0,66750.49,67620.01,0
2024-10-17 00:00:00+00:00,67620.0,67939.4,66666.0,67421.78,0
2024-10-18 00:00:00+00:00,67421.78,69000.0,67192.36,68428.0,8
2024-10-19 00:00:00+00:00,68427.99,68693.26,68010.0,68378.0,8
2024-10-20 00:00:00+00:00,68377.99,69400.0,68100.0,69031.99,8
2024-10-21 00:00:00+00:00,69032.0,69519.52,66840.67,67377.5,5
2024-10-22 00:00:00+00:00,67377.5,67836.01,66571.42,67426.0,5
2024-10-23 00:00:00+00:00,67426.01,67472.83,65260.0,66668.65,5
2024-10-24 00:00:00+00:00,66668.65,68850.0,66510.0,68198.28,5
2024-10-25 00:00:00+00:00,68198.27,68771.49,65596.29,66698.33,5
2024-10-26 00:00:00+00:00,66698.32,67454.55,66439.9,67092.76,5
2024-10-27 00:00:00+00:00,67092.76,68332.05,66913.73,68021.7,5
2024-10-28 00:00:00+00:00,68021.69,70270.0,67618.0,69962.21,5
2024-10-29 00:00:00+00:00,69962.21,73620.12,69760.0,72736.42,5
2024-10-30 00:00:00+00:00,72736.41,72961.0,71436.0,72344.74,5
2024-10-31 00:00:00+00:00,72344.75,72700.0,69685.76,70292.01,5
2024-11-01 00:00:00+00:00,70292.01,71632.95,68820.14,69496.01,5
2024-11-02 00:00:00+00:00,69496.0,69914.37,69000.14,69374.74,5
2024-11-03 00:00:00+00:00,69374.74,69391.0,67478.73,68775.99,4
2024-11-04 00:00:00+00:00,68775.99,69500.0,66835.0,67850.01,4
2024-11-05 00:00:00+00:00,67850.01,70577.91,67476.63,69372.01,4
2024-11-06 00:00:00+00:00,69372.01,76400.0,69298.0,75571.99,2
2024-11-07 00:00:00+00:00,75571.99,76849.99,74416.0,75857.89,8
2024-11-08 00:00:00+00:00,75857.89,77199.99,75555.0,76509.78,8
2024-11-09 00:00:00+00:00,76509.78,76900.0,75714.66,76677.46,5
2024-11-10 00:00:00+00:00,76677.46,81500.0,76492.0,80370.01,5
2024-11-11 00:00:00+00:00,80370.01,89530.54,80216.01,88647.99,5
2024-11-12 00:00:00+00:00,88648.0,89940.0,85072.0,87952.01,5
2024-11-13 00:00:00+00:00,87952.0,93265.64,86127.99,90375.2,5
2024-11-14 00:00:00+00:00,90375.21,91790.0,86668.21,87325.59,5
2024-11-15 00:00:00+00:00,87325.59,91850.0,87073.38,91032.07,5
2024-11-16 00:00:00+00:00,91032.08,91779.66,90056.17,90586.92,5
2024-11-17 00:00:00+00:00,90587.98,91449.99,88722.0,89855.99,5
2024-11-18 00:00:00+00:00,89855.98,92594.0,89376.9,90464.08,5
2024-11-19 00:00:00+00:00,90464.07,93905.51,90357.0,92310.79,5
2024-11-20 00:00:00+00:00,92310.8,94831.97,91500.0,94286.56,5
2024-11-21 00:00:00+00:00,94286.56,98988.0,94040.0,98317.12,5
2024-11-22 00:00:00+00:00,98317.12,99588.01,97122.11,98892.0,5
2024-11-23 00:00:00+00:00,98892.0,98908.85,97136.0,97672.4,5
2024-11-24 00:00:00+00:00,97672.4,98564.0,95734.77,97900.04,5
2024-11-25 00:00:00+00:00,97900.05,98871.8,92600.19,93010.01,5
2024-11-26 00:00:00+00:00,93010.01,94973.37,90791.1,91965.16,5
